,Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Refs/Notes
0,Earth,Sun (Sol),G2V,1.00,1.00,5.514,1.00,255,365.25,0.0,[3]
1,Teegarden's Star b,Teegarden's Star,M7V,≥1.05,—,,1.15,264,4.91,12.58,[4]
2,TOI 700 d,TOI 700,M2V,1.72,1.14,5.631,0.87,246,37.4,101.0,
3,K2-72e,K2-72,M?V,~2.21,1.29,5.675,1.11,261,24.2,217.0,[5]
4,TRAPPIST-1d,TRAPPIST-1,M8V,0.30,0.78,3.39,1.04,258,4.05,39.0,Confirmed to be rocky[6][7]
5,Kepler-1649c,Kepler-1649,M5V,—,1.06,5.54,0.75,237,19.5,301.0,[8]
6,Proxima Centauri b,Proxima Centauri,M5V,≥1.27,—,4.016,0.70,228,11.186,4.25,"Affected by solar flare, possibly affected by high radiation[9]"
7,Gliese 1061 d,Gliese 1061,M5V,1.64,—,,0.69,218,13.0,12.0,
8,Gliese 1061 c,Gliese 1061,M5V,≥1.74,—,,1.45,275,6.7,12.0,
9,Ross 128 b,Ross 128,M4V,≥1.40,—,2.424,1.48,280,9.87,11.03,[10]
10,Luyten b,Luyten's Star,M3V,≥2.89,—,6.45,1.06,258,18.65,12.36,[11]
11,TRAPPIST-1e,TRAPPIST-1,M8V,0.77,0.91,5.65,0.67,230,6.1,39.0,Confirmed to be rocky[6][7]
12,Kepler-442b,Kepler-442,K?V,—,1.35,5.272,0.70,233,112.3,1193.0,[1]
13,Wolf 1061c,Wolf 1061,M3V,≥3.41,—,5.79,1.30,271,17.9,13.8,[1]
14,Gliese 667 Cc,Gliese 667 C,M1V,≥3.81,—,5.603,0.88,247,28.1,23.62,[12][1]
15,Kepler-1229b,Kepler-1229,M?V,—,1.40,5.426,0.49,213,86.8,865.0,[1]
16,TRAPPIST-1f,TRAPPIST-1,M8V,0.93,1.05,3.3±0.9,0.38,200,9.2,39.0,Confirmed to be rocky[6][7]
17,Kepler-62f,Kepler-62,K2V,—,1.41,5.509,0.41,204,267.3,981.0,[1][13]
18,Teegarden's Star c,Teegarden's Star,M7V,≥1.11,—,,0.37,199,11.4,12.58,[4]
19,Kepler-186f,Kepler-186,M1V,—,1.17,,0.29,188,129.9,579.0,[1]
20,Tau Ceti f,Tau Ceti,G8V,≥3.93,—,3.655,0.32,190,636.1,12.0,[1]
21,TRAPPIST-1g,TRAPPIST-1,M8V,1.15,1.15,4.186,0.26,182,12.4,39.0,Confirmed to be rocky[6][7]
22,Kapteyn b,Kapteyn's Star,M1VI,≥4.8,—,6.44,0.43,205,48.6,13.0,"Not confirmed, controversial[14]"
23,Kepler-452b,Kepler-452,G2V,5,1.63,,1.11,261,384.8,1799.0,[1][15][16]
24,Kepler-62e,Kepler-62,K2V,—,1.61,,1.15,264,122.4,981.0,[1][17]
25,Kepler-1652b,Kepler-1652,M?V,—,1.60,,0.84,244,38.1,822.0,
26,Kepler-1544 b,Kepler-1544,K2V,—,1.78,,0.90,248,168.8,1092.0,[1]
27,Kepler-296e,Kepler-296,K7V,—,1.52,,1.50,276,34.1,737.0,[1][18]
28,Kepler-283c,Kepler-283,K5V,—,1.82,,0.90,248,92.7,1526.0,[1]
29,K2-296b,EPIC 201238110,M?V,—,1.87,,1.15,264,28.2,519.0,
30,Kepler-1410b,Kepler-1410,K?V,—,1.78,,1.34,274,60.9,1196.0,
31,Kepler-1638b,Kepler-1638,G4V,—,1.87,,1.39,276,259.3,4973.0,[19]
32,Kepler-296f,Kepler-296,K7V,—,1.80,,0.66,225,63.3,737.0,[1][20]
33,Kepler-440b,Kepler-440,K6V,—,1.91,,1.44,273,101.1,981.0,[1]
34,Kepler-705b,Kepler-705,M?V,—,2.11,2.994,0.83,243,56.1,903.0,
35,Kepler-1653b,Kepler-1653,K?V,—,2.17,,1.04,258,140.3,2461.0,
36,Gliese 832 c,Gliese 832,M2V,≥5.40,—,,0.99,253,35.7,16.0,[1]
37,Kepler-1606b,Kepler-1606,G?V,—,2.07,,1.41,277,196.4,2710.0,[21]
38,Kepler-1090b,Kepler-1090,K0V,—,2.25,,1.20,267,198.7,2800.0,[1]
39,Kepler-61b,Kepler-61,K7V,—,2.15,3.6,1.39,273,59.9,1092.0,[1][22]
40,Kepler-443b,Kepler-443,K3V,—,2.35,2.9,0.89,247,177.7,2615.0,[1]
41,Kepler-1701b,Kepler-1701,K?V,—,2.22,,1.37,275,169.1,1904.0,[1][23]
42,Kepler-22b,Kepler-22,G5V,—,2.38,,1.10,261,289.9,635.0,[1][24]
43,LHS 1140 b,LHS 1140,M4V,6.98,1.73,7.82+0.98−0.88,0.50,214,24.7,49.0,Confirmed to be rocky[25][26]
44,Kepler-1552b,Kepler-1552,K?V,—,2.47,,1.10,261,184.8,2507.0,
45,K2-9b,K2-9,M2V,—,2.25,,1.45,279,18.4,270.0,[1][27]
46,Kepler-1540b,Kepler-1540,K?V,—,2.49,,0.92,250,125.4,799.0,
47,Gliese 180 c,Gliese 180,M2V,≥6.40,—,,0.78,239,24.3,39.0,Not confirmed[1][28]
48,Kepler-1632b,Kepler-1632,F?V,—,2.47,,1.27,270,448.3,2337.0,
49,Kepler-298d,Kepler-298,K5V,—,2.50,,1.29,271,77.5,1689.0,[1]
50,Gliese 163 c,Gliese 163,M3V,≥6.80,—,,1.41,277,25.6,49.0,[1]
51,HD 40307 g,HD 40307,K2V,≥7.09,—,2.86,0.67,226,197.8,42.0,Not confirmed[1][29]
52,K2-288Bb,K2-288 B,M3V,—,1.91,,0.44,207,31.4,214.0,
53,Gliese 3293 d,Gliese 3293,M2V,≥7.60,—,,0.59,223,48.1,66.0,[1]
54,Gliese 229 Ac,Gliese 229 A,M1V,≥7.27,—,,0.53,216,122.0,18.8,
55,Kepler-174d,Kepler-174,K3V,—,2.19,,0.43,206,247.4,1254.0,[1]
56,Gliese 357 d,Gliese 357,M2V,≥6.10,—,2.617,0.38,200,55.7,31.0,
57,Gliese 625 b,Gliese 625,M2V,2.82±0.51,,,,,14.628,21.3,[30]
58,Kepler-26e,Kepler-26,K,,2.1,,,,46.8,1104.0,[31][32]
59,Kepler-737b,Kepler-737,M,4.5,1.96,,,,28.5992,669.0,Multiple HZ solutions
60,Luyten 98-59 f*,Luyten 98-59,M3V,2.46,,,>1,~280,23.15,34.648,Unconfirmed[33]
